"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 10:04:24 IDT 2024","Sun Jul 14 10:04:41 IDT 2024","16935","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | presentation",""
"failed","Sun Jul 14 11:15:00 IDT 2024","Sun Jul 14 11:15:11 IDT 2024","11188","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | ian post",""
"failed","Sun Jul 14 10:01:19 IDT 2024","Sun Jul 14 10:01:36 IDT 2024","17324","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | heartbeat",""
"failed","Sun Jul 14 09:58:44 IDT 2024","Sun Jul 14 09:58:59 IDT 2024","15514","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | radio",""
"failed","Sun Jul 14 10:14:16 IDT 2024","Sun Jul 14 10:14:30 IDT 2024","13454","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | minimalism",""
"failed","Sun Jul 14 11:06:36 IDT 2024","Sun Jul 14 11:06:53 IDT 2024","16445","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | scary",""
"passed","Sun Jul 14 09:48:34 IDT 2024","Sun Jul 14 09:48:48 IDT 2024","13915","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | new year",""
"failed","Sun Jul 14 10:49:35 IDT 2024","Sun Jul 14 10:49:49 IDT 2024","13968","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | fashion",""
"failed","Sun Jul 14 10:54:50 IDT 2024","Sun Jul 14 10:55:08 IDT 2024","18491","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | documentary",""
"passed","Sun Jul 14 10:53:13 IDT 2024","Sun Jul 14 10:53:29 IDT 2024","16025","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | trap",""
"failed","Sun Jul 14 11:06:12 IDT 2024","Sun Jul 14 11:06:16 IDT 2024","4197","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | interview",""
